41.31115,1.65799,304.36,0.42,0.61,2024-04-16,243,N,VIIRS,n,2.0NRT,281.78,1.75,N
47.90072,4.03702,295.22,0.35,0.57,2024-04-16,243,N,VIIRS,n,2.0NRT,274.51,0.35,N
35.80041,'-0.20429,303.92,0.48,0.65,2024-04-16,245,N,VIIRS,n,2.0NRT,284.55,1.38,N
9.20562,'-12.05628,306.74,0.34,0.56,2024-04-16,251,N,VIIRS,n,2.0NRT,291.84,0.71,N
10.35672,'-11.49095,306.67,0.35,0.57,2024-04-16,251,N,VIIRS,n,2.0NRT,292.6,6.42,N
10.57228,'-11.57744,303.03,0.34,0.56,2024-04-16,251,N,VIIRS,n,2.0NRT,292.32,0.82,N
11.07776,'-11.77769,307.73,0.33,0.55,2024-04-16,251,N,VIIRS,n,2.0NRT,290.37,0.71,N
11.29998,'-11.13718,313.51,0.36,0.57,2024-04-16,251,N,VIIRS,n,2.0NRT,293.18,1.25,N
11.54468,'-10.71548,304.14,0.38,0.58,2024-04-16,251,N,VIIRS,n,2.0NRT,291.39,0.61,N
11.73529,'-12.3983,308.26,0.58,0.52,2024-04-16,251,N,VIIRS,n,2.0NRT,294.65,2.52,N
11.84095,'-12.40882,303.26,0.57,0.52,2024-04-16,251,N,VIIRS,n,2.0NRT,286.83,0.82,N
11.87992,'-13.80579,332.47,0.46,0.47,2024-04-16,251,N,VIIRS,n,2.0NRT,293.62,1.85,N
11.95461,'-7.5557,306.07,0.6,0.7,2024-04-16,251,N,VIIRS,n,2.0NRT,289.42,1.54,N
12.02339,'-14.27479,306.15,0.43,0.46,2024-04-16,251,N,VIIRS,n,2.0NRT,293.37,2.56,N
12.04018,'-14.27167,304.71,0.43,0.46,2024-04-16,251,N,VIIRS,n,2.0NRT,293.07,1.59,N
12.1331,'-9.82563,308.06,0.42,0.61,2024-04-16,251,N,VIIRS,n,2.0NRT,293.73,2.61,N
12.23763,'-10.03375,307.24,0.41,0.6,2024-04-16,251,N,VIIRS,n,2.0NRT,293.67,1.61,N
12.29879,'-13.11832,315.2,0.51,0.49,2024-04-16,251,N,VIIRS,n,2.0NRT,291.8,2.51,N
12.41204,'-10.28631,300.26,0.39,0.59,2024-04-16,251,N,VIIRS,n,2.0NRT,289.51,0.32,N
12.45739,'-9.46917,302.59,0.44,0.62,2024-04-16,251,N,VIIRS,n,2.0NRT,291.19,0.91,N
12.6955,'-10.02293,304.17,0.4,0.6,2024-04-16,251,N,VIIRS,n,2.0NRT,286.62,1.19,N
12.76049,'-9.06653,306.36,0.46,0.64,2024-04-16,251,N,VIIRS,n,2.0NRT,291.04,1.37,N
12.80025,'-13.89508,318.58,0.44,0.46,2024-04-16,251,N,VIIRS,n,2.0NRT,294.69,3.39,N
12.95586,'-15.51437,317.62,0.53,0.42,2024-04-16,251,N,VIIRS,n,2.0NRT,295.53,3.1,N
13.04798,'-14.40864,329.21,0.41,0.45,2024-04-16,251,N,VIIRS,n,2.0NRT,295.37,1.92,N
13.06245,'-14.21506,307.89,0.42,0.45,2024-04-16,251,N,VIIRS,n,2.0NRT,296.41,1.69,N
13.17338,'-15.508,310.3,0.52,0.42,2024-04-16,251,N,VIIRS,n,2.0NRT,295.77,1.8,N
13.18997,'-14.57338,324.12,0.4,0.44,2024-04-16,251,N,VIIRS,n,2.0NRT,295.93,4.14,N
13.26237,'-15.92616,306.05,0.5,0.41,2024-04-16,251,N,VIIRS,n,2.0NRT,294.15,1.55,N
13.3232,'-13.34643,313.48,0.47,0.48,2024-04-16,251,N,VIIRS,n,2.0NRT,296.75,3.59,N
13.37858,'-12.94137,311.41,0.5,0.49,2024-04-16,251,N,VIIRS,n,2.0NRT,290.16,1.04,N
13.40918,'-15.52447,312.92,0.52,0.41,2024-04-16,251,N,VIIRS,n,2.0NRT,293.62,1.17,N
13.43666,'-14.41495,322.41,0.4,0.44,2024-04-16,251,N,VIIRS,n,2.0NRT,297.25,3.37,N
13.49058,'-14.5293,328.3,0.39,0.44,2024-04-16,251,N,VIIRS,n,2.0NRT,298.85,4.36,N
13.53693,'-15.79108,307.64,0.5,0.41,2024-04-16,251,N,VIIRS,n,2.0NRT,295,1.57,N
13.55502,'-14.5141,330.96,0.39,0.44,2024-04-16,251,N,VIIRS,n,2.0NRT,298.26,2.66,N
13.71533,'-14.50254,346.67,0.39,0.44,2024-04-16,251,N,VIIRS,n,2.0NRT,299.92,4.1,N
13.91553,'-10.52657,349.71,0.35,0.57,2024-04-16,251,N,VIIRS,n,2.0NRT,293.84,5.6,N
